activity_group_name	VerwerkingsMethode	amount
BUITEN MRA	A02 Overslag / opbulken	644,46
H VERVOER EN OPSLAG 	A02 Overslag / opbulken	5,18
J INFORMATIE EN COMMUNICATIE 	A02 Overslag / opbulken	1,36
BUITEN MRA	A02 Overslag / opbulken	0,74
BUITEN MRA	A02 Overslag / opbulken	1,4
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	3,14
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	3,48
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	4,8
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	11,24
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	14,42
C INDUSTRIE	A02 Overslag / opbulken	12,5
C INDUSTRIE	A02 Overslag / opbulken	9,84
H VERVOER EN OPSLAG 	A02 Overslag / opbulken	1,84
H VERVOER EN OPSLAG 	A02 Overslag / opbulken	1,94
BUITEN MRA	A02 Overslag / opbulken	2,9
BUITEN MRA	A02 Overslag / opbulken	4,8
BUITEN MRA	A02 Overslag / opbulken	9,22
BUITEN MRA	A02 Overslag / opbulken	14,38
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	6,58
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	2,04
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	6,46
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	34,5
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	19,64
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	15,48
L EXPLOITATIE VAN EN HANDEL IN ONROEREND GOED 	A02 Overslag / opbulken	16,48
L EXPLOITATIE VAN EN HANDEL IN ONROEREND GOED 	A02 Overslag / opbulken	19,56
L EXPLOITATIE VAN EN HANDEL IN ONROEREND GOED 	A02 Overslag / opbulken	0,24
H VERVOER EN OPSLAG 	A02 Overslag / opbulken	1,34
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	0,78
L EXPLOITATIE VAN EN HANDEL IN ONROEREND GOED 	A02 Overslag / opbulken	3,4
L EXPLOITATIE VAN EN HANDEL IN ONROEREND GOED 	A02 Overslag / opbulken	52,84
L EXPLOITATIE VAN EN HANDEL IN ONROEREND GOED 	A02 Overslag / opbulken	19,2
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	1,42
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	1,44
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	0,92
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	9,72
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	2,8
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	5,66
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	3,2
C INDUSTRIE	A02 Overslag / opbulken	0,8
C INDUSTRIE	A02 Overslag / opbulken	10,82
C INDUSTRIE	A02 Overslag / opbulken	5,98
C INDUSTRIE	A02 Overslag / opbulken	9,28
C INDUSTRIE	A02 Overslag / opbulken	5
C INDUSTRIE	A02 Overslag / opbulken	0,86
H VERVOER EN OPSLAG 	A02 Overslag / opbulken	2,38
I VERSCHAFFEN VAN ACCOMMODATIE EN MAALTIJDEN 	A02 Overslag / opbulken	13,62
I VERSCHAFFEN VAN ACCOMMODATIE EN MAALTIJDEN 	A02 Overslag / opbulken	21,22
I VERSCHAFFEN VAN ACCOMMODATIE EN MAALTIJDEN 	A02 Overslag / opbulken	20,84
I VERSCHAFFEN VAN ACCOMMODATIE EN MAALTIJDEN 	A02 Overslag / opbulken	20,9
I VERSCHAFFEN VAN ACCOMMODATIE EN MAALTIJDEN 	A02 Overslag / opbulken	13,88
I VERSCHAFFEN VAN ACCOMMODATIE EN MAALTIJDEN 	A02 Overslag / opbulken	12,58
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	2,54
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	8,98
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	2,02
C INDUSTRIE	A02 Overslag / opbulken	1,84
C INDUSTRIE	A02 Overslag / opbulken	4,64
C INDUSTRIE	A02 Overslag / opbulken	5,08
C INDUSTRIE	A02 Overslag / opbulken	7,92
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	6,98
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	10,42
H VERVOER EN OPSLAG 	A02 Overslag / opbulken	0,76
H VERVOER EN OPSLAG 	A02 Overslag / opbulken	2,24
H VERVOER EN OPSLAG 	A02 Overslag / opbulken	10,38
H VERVOER EN OPSLAG 	A02 Overslag / opbulken	3,54
H VERVOER EN OPSLAG 	A02 Overslag / opbulken	8,92
H VERVOER EN OPSLAG 	A02 Overslag / opbulken	6,18
H VERVOER EN OPSLAG 	A02 Overslag / opbulken	29,88
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	0,18
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	0,72
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	0,42
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	0,56
"O OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN "	A02 Overslag / opbulken	0,42
"O OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN "	A02 Overslag / opbulken	0,64
C INDUSTRIE	A02 Overslag / opbulken	13,72
C INDUSTRIE	A02 Overslag / opbulken	6,04
C INDUSTRIE	A02 Overslag / opbulken	155,28
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	6,64
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	14,6
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	11,76
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	24,2
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	0,75
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	9.637
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	0,016
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	0,157
L EXPLOITATIE VAN EN HANDEL IN ONROEREND GOED 	A02 Overslag / opbulken	0,577
I VERSCHAFFEN VAN ACCOMMODATIE EN MAALTIJDEN 	A02 Overslag / opbulken	1.516
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	A02 Overslag / opbulken	0,629
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	A02 Overslag / opbulken	2.318
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	0,041
R KUNST, AMUSEMENT EN RECREATIE 	A02 Overslag / opbulken	1.053
R KUNST, AMUSEMENT EN RECREATIE 	A02 Overslag / opbulken	1.893
Q MENSELIJKE GEZONDHEIDSZORG EN MAATSCHAPPELIJKE DIENSTVERLENING 	A02 Overslag / opbulken	0,355
Q MENSELIJKE GEZONDHEIDSZORG EN MAATSCHAPPELIJKE DIENSTVERLENING 	A02 Overslag / opbulken	1.057
"O OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN "	A02 Overslag / opbulken	0,332
L EXPLOITATIE VAN EN HANDEL IN ONROEREND GOED 	A02 Overslag / opbulken	0,441
L EXPLOITATIE VAN EN HANDEL IN ONROEREND GOED 	A02 Overslag / opbulken	0,429
L EXPLOITATIE VAN EN HANDEL IN ONROEREND GOED 	A02 Overslag / opbulken	0,955
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	0,024
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	0,511
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	0,121
H VERVOER EN OPSLAG 	A02 Overslag / opbulken	0,25
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	0,238
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	0,041
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	0,033
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	0,039
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	9,56
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	16,44
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	9,52
C INDUSTRIE	A02 Overslag / opbulken	11,3
C INDUSTRIE	A02 Overslag / opbulken	13,42
C INDUSTRIE	A02 Overslag / opbulken	12,92
C INDUSTRIE	A02 Overslag / opbulken	19,88
C INDUSTRIE	A02 Overslag / opbulken	13,92
C INDUSTRIE	A02 Overslag / opbulken	12,46
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	2,74
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	3,12
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	1,04
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	3,26
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	5,12
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	7,4
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	13,12
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	3,34
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	2,38
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	14,26
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	16,32
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	1,9
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	11,66
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	4,1
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	1,28
Q MENSELIJKE GEZONDHEIDSZORG EN MAATSCHAPPELIJKE DIENSTVERLENING 	A02 Overslag / opbulken	10,4
Q MENSELIJKE GEZONDHEIDSZORG EN MAATSCHAPPELIJKE DIENSTVERLENING 	A02 Overslag / opbulken	9,52
BUITEN MRA	A02 Overslag / opbulken	6,76
BUITEN MRA	A02 Overslag / opbulken	0,68
"O OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN "	A02 Overslag / opbulken	5
C INDUSTRIE	A02 Overslag / opbulken	3,22
C INDUSTRIE	A02 Overslag / opbulken	2,58
C INDUSTRIE	A02 Overslag / opbulken	7,62
C INDUSTRIE	A02 Overslag / opbulken	3,4
BUITEN MRA	A02 Overslag / opbulken	23,28
BUITEN MRA	A02 Overslag / opbulken	57,86
BUITEN MRA	A02 Overslag / opbulken	2,92
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	11,36
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	5,9
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	2,08
H VERVOER EN OPSLAG 	C03 Sorteren / scheiden	3,84
H VERVOER EN OPSLAG 	C03 Sorteren / scheiden	19,88
H VERVOER EN OPSLAG 	C03 Sorteren / scheiden	16,3
H VERVOER EN OPSLAG 	C03 Sorteren / scheiden	15,06
H VERVOER EN OPSLAG 	C03 Sorteren / scheiden	21
J INFORMATIE EN COMMUNICATIE 	A02 Overslag / opbulken	1.015
J INFORMATIE EN COMMUNICATIE 	A02 Overslag / opbulken	0,908
BUITEN MRA	A02 Overslag / opbulken	2,52
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	6.904
R KUNST, AMUSEMENT EN RECREATIE 	A02 Overslag / opbulken	0,726
R KUNST, AMUSEMENT EN RECREATIE 	A02 Overslag / opbulken	1.766
S OVERIGE DIENSTEN 	A02 Overslag / opbulken	8,14
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	A02 Overslag / opbulken	1.465
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	A02 Overslag / opbulken	2.481
C INDUSTRIE	C01 Breken	1,2
C INDUSTRIE	C01 Breken	5,04
I VERSCHAFFEN VAN ACCOMMODATIE EN MAALTIJDEN 	A02 Overslag / opbulken	22,54
I VERSCHAFFEN VAN ACCOMMODATIE EN MAALTIJDEN 	A02 Overslag / opbulken	23,54
F BOUWNIJVERHEID 	A02 Overslag / opbulken	0,81
F BOUWNIJVERHEID 	A02 Overslag / opbulken	1,21
BUITEN MRA	A02 Overslag / opbulken	0,88
BUITEN MRA	A02 Overslag / opbulken	41,52
BUITEN MRA	A02 Overslag / opbulken	58,66
BUITEN MRA	A02 Overslag / opbulken	32,14
BUITEN MRA	A02 Overslag / opbulken	81,84
BUITEN MRA	A02 Overslag / opbulken	3,64
BUITEN MRA	A02 Overslag / opbulken	0,92
BUITEN MRA	A02 Overslag / opbulken	3,44
BUITEN MRA	A02 Overslag / opbulken	2,64
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C03 Sorteren / scheiden	0,14
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C03 Sorteren / scheiden	5,42
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C03 Sorteren / scheiden	4,56
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	C03 Sorteren / scheiden	3,24
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	34,36
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	C02 Shredderen / knippen	110,72
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	C02 Shredderen / knippen	225,92
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	C02 Shredderen / knippen	207,66
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	3,56
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	19,12
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	21,88
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	4,76
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	23,48
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	497
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	7,72
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	36,48
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	11,62
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	56,12
BUITEN MRA	A02 Overslag / opbulken	0,25
BUITEN MRA	C03 Sorteren / scheiden	353,02
BUITEN MRA	C03 Sorteren / scheiden	865,12
BUITEN MRA	C03 Sorteren / scheiden	567,82
BUITEN MRA	C02 Shredderen / knippen	471,16
BUITEN MRA	C02 Shredderen / knippen	692,84
BUITEN MRA	C02 Shredderen / knippen	161,27
BUITEN MRA	C02 Shredderen / knippen	428,34
BUITEN MRA	C02 Shredderen / knippen	92,38
BUITEN MRA	C02 Shredderen / knippen	202,72
BUITEN MRA	C02 Shredderen / knippen	58,86
BUITEN MRA	C02 Shredderen / knippen	36,94
BUITEN MRA	C02 Shredderen / knippen	28,44
BUITEN MRA	A02 Overslag / opbulken	3,52
BUITEN MRA	A02 Overslag / opbulken	508,3
BUITEN MRA	A02 Overslag / opbulken	839.785
BUITEN MRA	A02 Overslag / opbulken	1.362.695
BUITEN MRA	A02 Overslag / opbulken	104,68
BUITEN MRA	A02 Overslag / opbulken	1.097.626
BUITEN MRA	A02 Overslag / opbulken	4.936.065
BUITEN MRA	A02 Overslag / opbulken	3317,94
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	253,82
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	13,3
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	2,14
F BOUWNIJVERHEID 	A02 Overslag / opbulken	1,22
F BOUWNIJVERHEID 	A02 Overslag / opbulken	10,96
F BOUWNIJVERHEID 	A02 Overslag / opbulken	12,1
F BOUWNIJVERHEID 	A02 Overslag / opbulken	11,04
F BOUWNIJVERHEID 	A02 Overslag / opbulken	4,26
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	17,14
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	18,28
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	24,54
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	16,9
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	35,6
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	11,7
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	9,16
F BOUWNIJVERHEID 	A02 Overslag / opbulken	2,76
F BOUWNIJVERHEID 	A02 Overslag / opbulken	5,68
F BOUWNIJVERHEID 	A02 Overslag / opbulken	9,52
F BOUWNIJVERHEID 	A02 Overslag / opbulken	23,02
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	0,68
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	2,98
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	1,36
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	6,08
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	2,92
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	0,7
BUITEN MRA	A02 Overslag / opbulken	931,85
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	78,88
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	134,34
F BOUWNIJVERHEID 	A02 Overslag / opbulken	1,44
F BOUWNIJVERHEID 	A02 Overslag / opbulken	0,42
R KUNST, AMUSEMENT EN RECREATIE 	A02 Overslag / opbulken	3,32
Q MENSELIJKE GEZONDHEIDSZORG EN MAATSCHAPPELIJKE DIENSTVERLENING 	A02 Overslag / opbulken	1,18
F BOUWNIJVERHEID 	A02 Overslag / opbulken	3,64
F BOUWNIJVERHEID 	A02 Overslag / opbulken	34,17
F BOUWNIJVERHEID 	A02 Overslag / opbulken	7,95
F BOUWNIJVERHEID 	A02 Overslag / opbulken	12,31
F BOUWNIJVERHEID 	A02 Overslag / opbulken	17,83
F BOUWNIJVERHEID 	A02 Overslag / opbulken	0,3
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	A02 Overslag / opbulken	2,94
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	0,23
F BOUWNIJVERHEID 	A02 Overslag / opbulken	30,97
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	A02 Overslag / opbulken	2,74
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	0,63
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	2,26
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	1,04
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	2,1
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	1,52
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	1,76
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	0,4
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	1,22
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	0,64
A LANDBOUW, BOSBOUW EN VISSERIJ	A02 Overslag / opbulken	1,88
N ADMINISTRATIEVE EN ONDERSTEUNENDE DIENSTEN 	A02 Overslag / opbulken	0,74
J INFORMATIE EN COMMUNICATIE 	A02 Overslag / opbulken	0,16
J INFORMATIE EN COMMUNICATIE 	A02 Overslag / opbulken	0,46
C INDUSTRIE	A02 Overslag / opbulken	2,26
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C03 Sorteren / scheiden	12,92
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C03 Sorteren / scheiden	9,56
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C03 Sorteren / scheiden	28,82
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C03 Sorteren / scheiden	40,12
F BOUWNIJVERHEID 	A02 Overslag / opbulken	23,74
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	A02 Overslag / opbulken	15,62
F BOUWNIJVERHEID 	A02 Overslag / opbulken	1,44
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	C02 Shredderen / knippen	6,16
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	A02 Overslag / opbulken	1,26
F BOUWNIJVERHEID 	A02 Overslag / opbulken	36,58
F BOUWNIJVERHEID 	C02 Shredderen / knippen	3,1
F BOUWNIJVERHEID 	C02 Shredderen / knippen	3,38
R KUNST, AMUSEMENT EN RECREATIE 	A02 Overslag / opbulken	19,06
R KUNST, AMUSEMENT EN RECREATIE 	A02 Overslag / opbulken	4,48
P ONDERWIJS 	A02 Overslag / opbulken	3,98
"G GROOT-EN DETAILHANDEL; REPARATIE VAN AUTO'S EN MOTORFIETSEN "	A02 Overslag / opbulken	33,66
I VERSCHAFFEN VAN ACCOMMODATIE EN MAALTIJDEN 	A02 Overslag / opbulken	0,4
F BOUWNIJVERHEID 	C03 Sorteren / scheiden	1,08
F BOUWNIJVERHEID 	C03 Sorteren / scheiden	1,36
F BOUWNIJVERHEID 	C03 Sorteren / scheiden	8,14
F BOUWNIJVERHEID 	C03 Sorteren / scheiden	2,58
F BOUWNIJVERHEID 	C03 Sorteren / scheiden	1,96
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C03 Sorteren / scheiden	11,3
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C03 Sorteren / scheiden	39,69
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C03 Sorteren / scheiden	55,98
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C03 Sorteren / scheiden	63,38
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C03 Sorteren / scheiden	5,78
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C03 Sorteren / scheiden	1,16
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C03 Sorteren / scheiden	46,26
"O OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN "	C03 Sorteren / scheiden	1,47
"O OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN "	C03 Sorteren / scheiden	3,61
"O OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN "	C03 Sorteren / scheiden	2,66
"O OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN "	C03 Sorteren / scheiden	8,08
"O OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN "	C03 Sorteren / scheiden	4,74
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	112,12
"O OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN "	C03 Sorteren / scheiden	132,74
"O OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN "	C03 Sorteren / scheiden	117,44
