activity_group_name	VerwerkingsMethode	amount
"O OPENBAAR BESTUUR EN DEFENSIE; VERPLICHTE SOCIALE VERZEKERINGEN "	C01 Breken	0,6
C INDUSTRIE	C01 Breken	0,66
C INDUSTRIE	C01 Breken	0,24
C INDUSTRIE	C01 Breken	0,72
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C01 Breken	12,16
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C01 Breken	16,3
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C01 Breken	15,14
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C01 Breken	11,26
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C01 Breken	25,06
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C01 Breken	7,2
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	7,64
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	4,56
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	5,72
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	26,34
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	A02 Overslag / opbulken	1,4
F BOUWNIJVERHEID 	E03 Composteren, aeroob	8,5
A LANDBOUW, BOSBOUW EN VISSERIJ	C02 Shredderen / knippen	1,88
A LANDBOUW, BOSBOUW EN VISSERIJ	C02 Shredderen / knippen	1,76
H VERVOER EN OPSLAG 	A02 Overslag / opbulken	6,16
F BOUWNIJVERHEID 	A02 Overslag / opbulken	3,92
M VRIJE BEROEPEN EN WETENSCHAPPELIJKE EN TECHNISCHE ACTIVITEITEN 	C01 Breken	0,114
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C02 Shredderen / knippen	2,54
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C02 Shredderen / knippen	1,5
"E DISTRIBUTIE VAN WATER; AFVAL-EN AFVALWATERBEHEER EN SANERING "	C02 Shredderen / knippen	7,08
BUITEN MRA	B05 Overig inzetten als grondstof	7,42
C INDUSTRIE	B05 Overig inzetten als grondstof	91,18
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	B05 Overig inzetten als grondstof	20,28
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	B05 Overig inzetten als grondstof	100,02
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	B05 Overig inzetten als grondstof	105,98
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	B05 Overig inzetten als grondstof	28,36
K FINANCIËLE ACTIVITEITEN EN VERZEKERINGEN 	B05 Overig inzetten als grondstof	9,52
F BOUWNIJVERHEID 	B05 Overig inzetten als grondstof	5,76
F BOUWNIJVERHEID 	B05 Overig inzetten als grondstof	7,7
F BOUWNIJVERHEID 	B05 Overig inzetten als grondstof	14,86
F BOUWNIJVERHEID 	B05 Overig inzetten als grondstof	13,92
C INDUSTRIE	B05 Overig inzetten als grondstof	22,66
C INDUSTRIE	B05 Overig inzetten als grondstof	15,86
C INDUSTRIE	B05 Overig inzetten als grondstof	29,02
