wkt_geom;name;code;adminlevel_id;parent_area_id;inhabitants
MultiPolygon (((4.83523037338227724 52.37315692250704302, 4.84220924694994803 52.37210216118737094, 4.84213604664421471 52.36931089551149654, 4.84510199235525452 52.36933387074397928, 4.84585358729653137 52.36935509656568399, 4.84692079874820969 52.36945486857774767, 4.84844635809024194 52.36971786052624367, 4.8498482851420377 52.36671331342833469, 4.85048997984622599 52.36533212062098386, 4.85051402073089122 52.36434358883557394, 4.85006761327941938 52.36433267159672766, 4.85007296685454925 52.36335443577123527, 4.84954140765119668 52.36337476762290777, 4.8495048194798791 52.36099098782273131, 4.8488006054949464 52.36080242484610636, 4.8488209381504026 52.35805508098586358, 4.8488059141974249 52.35549393399202245, 4.84462072882516903 52.3554289001133526, 4.84475107588715481 52.35248531517731863, 4.84554310228937624 52.35247756378721817, 4.84555693404449528 52.3520707999025916, 4.84554909632351549 52.35158731713589475, 4.84562418288482633 52.34714271297863064, 4.84563608473159224 52.34636371470564598, 4.8451925974169443 52.34599539643914312, 4.84151220702609741 52.3459770438384453, 4.84200674716278989 52.33980373593024638, 4.84245472993970871 52.33907221732541615, 4.84285824203456627 52.33874237818624664, 4.84330035346996901 52.33848933483161403, 4.84385408519911831 52.33828129024692544, 4.84459514740054953 52.33813045295082844, 4.84558017281487619 52.33802521423120879, 4.84695707091341266 52.33807993612351339, 4.84703917019334352 52.33769869200353497, 4.84714447826963468 52.33686771872290677, 4.84709506338206797 52.3362846858307833, 4.84505674019031485 52.33402374153362757, 4.84167628956101481 52.33245952535042989, 4.83645143937540301 52.33168697446321715, 4.83181315755696605 52.33151359090319943, 4.82279649944779276 52.33116801041431643, 4.81964324984281411 52.33046733538431283, 4.81770893767333597 52.32897212090621508, 4.81644874279006263 52.32764275288759137, 4.80328337921684945 52.33315269542242021, 4.79898140075704038 52.33494462884713272, 4.79787786316425002 52.33540381806344755, 4.79126259019052458 52.34165661604642139, 4.76811809597593061 52.35122441077748334, 4.75696442077411596 52.355603249624032, 4.75567957298922117 52.35648323760906209, 4.75508551582531691 52.3582339391045295, 4.7587653073307532 52.37145242155443725, 4.75877902416848642 52.37356770124861782, 4.75811550784031834 52.37616679434719202, 4.75660198698769943 52.37809452935297116, 4.7573343076642427 52.37811571870497573, 4.75913947818518679 52.37955436821111022, 4.75900189654782313 52.38065894369088937, 4.7587384032794775 52.38426955606627189, 4.75826495222775403 52.38792700166754912, 4.76609429389422878 52.3879415260390715, 4.76644092891480042 52.38834373851531723, 4.76883711272743049 52.3883527827143709, 4.76959299977382578 52.38919063547746191, 4.77151262673917298 52.389193685272609, 4.80182839466579026 52.38923827401549715, 4.81314305456009173 52.38928017330958653, 4.81339974539313609 52.38917315839323408, 4.81883544806059394 52.38918150846152599, 4.81885301847688119 52.38755479081557809, 4.82224170973166988 52.38752944149715773, 4.82901921917118404 52.38753183960627524, 4.83160137248544874 52.38739615012955397, 4.83161391504390547 52.38639274309636562, 4.83156784072283152 52.38600695929437734, 4.83160725453801376 52.38485735942345656, 4.83472748840083 52.38489960223587616, 4.83918156093142926 52.38500279673765903, 4.83938116159675236 52.3829003940087361, 4.83930569246208719 52.38273148318386774, 4.837682069337089 52.3789335434928276, 4.83661435764128456 52.3763788982910441, 4.83580141306579137 52.37478242779397419, 4.83523037338227724 52.37315692250704302)));Nieuw-West;NW;9;823;155781
MultiPolygon (((4.87538600820768764 52.37340853240667826, 4.8751793324254189 52.3729805500604968, 4.87463637304290653 52.37250959292587993, 4.87445757337095653 52.37218652507863936, 4.87451280927590869 52.37187880323234168, 4.87571522537192159 52.36943266441045353, 4.87671621543228184 52.36848293830991707, 4.87727923014769349 52.36769543676565775, 4.87754567696091623 52.36678307960784906, 4.87888638990441414 52.36570429287338868, 4.87927523705602528 52.36495904123977141, 4.87937692182699312 52.36432773630227899, 4.87946376859213782 52.36414718698181048, 4.8797063541690946 52.36397570705101145, 4.88127516532707872 52.36327602244095658, 4.88179603065342871 52.36220556840457618, 4.88206827406280652 52.36205151109319189, 4.87740498195963212 52.36074040852539468, 4.87720897232406525 52.36107570388508492, 4.87676558952320161 52.36094428596447159, 4.87694309688244765 52.3606736676740212, 4.87663410794406715 52.36058138393047301, 4.87408652426231193 52.36080767031673133, 4.87006305011190754 52.35998298174929033, 4.86996623511998195 52.36011553197113244, 4.86633654053397269 52.35918417586181306, 4.86582557085422795 52.35883047029109605, 4.86553606690366802 52.35886973234541131, 4.86545471957201237 52.35899048325623539, 4.85480302733801228 52.3562777970387998, 4.8540942790895043 52.35640462168603904, 4.8543303844456398 52.35718324926904899, 4.85494747281070982 52.35783555640324494, 4.8538452758947459 52.35818404739214316, 4.85024103208021984 52.35806102067133594, 4.8488209381504026 52.35805508098586358, 4.8488006054949464 52.36080242484610636, 4.8495048194798791 52.36099098782273131, 4.84954140765119668 52.36337476762290777, 4.85007296685454925 52.36335443577123527, 4.85006761327941938 52.36433267159672766, 4.85051402073089122 52.36434358883557394, 4.85048997984622599 52.36533212062098386, 4.8498482851420377 52.36671331342833469, 4.84844635809024194 52.36971786052624367, 4.84692079874820969 52.36945486857774767, 4.84585358729653137 52.36935509656568399, 4.84510199235525452 52.36933387074397928, 4.84213604664421471 52.36931089551149654, 4.84220924694994803 52.37210216118737094, 4.83523037338227724 52.37315692250704302, 4.83580141306579137 52.37478242779397419, 4.83661435764128456 52.3763788982910441, 4.837682069337089 52.3789335434928276, 4.83930569246208719 52.38273148318386774, 4.83938116159675236 52.3829003940087361, 4.83918156093142926 52.38500279673765903, 4.84465704335457392 52.38515152444161771, 4.84510602168190907 52.38516741623436701, 4.84491174561234228 52.38877504753020276, 4.84492476222494783 52.38876769222088114, 4.85929995877037513 52.38879144897111928, 4.85927426280386054 52.39122683315768114, 4.85867537797499516 52.39117374858722087, 4.85829920456786724 52.39128082319444957, 4.85741144940849612 52.39207666963205412, 4.85736668572893748 52.39379817391007776, 4.85741346357695036 52.39536437629741528, 4.8605994031395765 52.3950399414561474, 4.86325027188732317 52.39390188886135036, 4.86494557271084282 52.39272695322883777, 4.8657914372440132 52.39301193647359156, 4.86748396327455701 52.39344743425960615, 4.8716050162641773 52.39538136784509703, 4.87193674647063801 52.39527455265225342, 4.87199202353038086 52.39461883564776201, 4.87275587165407487 52.39473633431212818, 4.87605285112343623 52.3944386592042548, 4.87614154171626257 52.39438516055451345, 4.87869220388827163 52.39568133096379654, 4.88438423181137349 52.39924288694638932, 4.88867318464802114 52.39676962338000976, 4.89102939721213126 52.39482694789300865, 4.89280496423901035 52.39334646536535445, 4.89567242027535521 52.38883241816870395, 4.892561193940411 52.38846013022025971, 4.89118620932221226 52.3884514282358964, 4.8857343902203807 52.38816209147868364, 4.88452094463995845 52.38837248211085296, 4.88315695671526839 52.38625448619117719, 4.88262979607819858 52.38543761351456141, 4.8817991717280691 52.38424178890364402, 4.88055824606850663 52.38240555026388989, 4.8796405268976546 52.3819142337547845, 4.87988156413069962 52.38132060053756334, 4.87626822913562474 52.37556409983587002, 4.87579139488709057 52.37481760352996218, 4.87556607074475501 52.37404401328556958, 4.87538600820768764 52.37340853240667826)));West;RW;9;823;144210
MultiPolygon (((4.86451287628105788 52.41488171882299696, 4.8657085611669002 52.41446384214818011, 4.88632206932748936 52.40060747519885354, 4.88438423181137349 52.39924288694638932, 4.87869220388827163 52.39568133096379654, 4.87614154171626257 52.39438516055451345, 4.87605285112343623 52.3944386592042548, 4.87275587165407487 52.39473633431212818, 4.87199202353038086 52.39461883564776201, 4.87193674647063801 52.39527455265225342, 4.8716050162641773 52.39538136784509703, 4.86748396327455701 52.39344743425960615, 4.8657914372440132 52.39301193647359156, 4.86494557271084282 52.39272695322883777, 4.86325027188732317 52.39390188886135036, 4.8605994031395765 52.3950399414561474, 4.85741346357695036 52.39536437629741528, 4.85736668572893748 52.39379817391007776, 4.85741144940849612 52.39207666963205412, 4.85829920456786724 52.39128082319444957, 4.85867537797499516 52.39117374858722087, 4.85927426280386054 52.39122683315768114, 4.85929995877037513 52.38879144897111928, 4.84492476222494783 52.38876769222088114, 4.84491174561234228 52.38877504753020276, 4.84510602168190907 52.38516741623436701, 4.84465704335457392 52.38515152444161771, 4.83918156093142926 52.38500279673765903, 4.83472748840083 52.38489960223587616, 4.83160725453801376 52.38485735942345656, 4.83156784072283152 52.38600695929437734, 4.83161391504390547 52.38639274309636562, 4.83160137248544874 52.38739615012955397, 4.82901921917118404 52.38753183960627524, 4.82224170973166988 52.38752944149715773, 4.81885301847688119 52.38755479081557809, 4.81883544806059394 52.38918150846152599, 4.81339974539313609 52.38917315839323408, 4.81314305456009173 52.38928017330958653, 4.80182839466579026 52.38923827401549715, 4.77151262673917298 52.389193685272609, 4.76959299977382578 52.38919063547746191, 4.76883711272743049 52.3883527827143709, 4.76644092891480042 52.38834373851531723, 4.76609429389422878 52.3879415260390715, 4.75826495222775403 52.38792700166754912, 4.75792739622469973 52.39670335182046301, 4.72894206431185893 52.40070591020694479, 4.73943376817336492 52.43111472754476665, 4.76710294837779358 52.4276331071108288, 4.76748302692776615 52.4287324700633306, 4.80679684710147903 52.42347579277571157, 4.82701836977452814 52.42089813859088565, 4.84897495246665411 52.41798335077393745, 4.85632951763147602 52.4165631659285367, 4.85681640239637424 52.41708733576729173, 4.86451287628105788 52.41488171882299696)));Westpoort;W;9;823;198
MultiPolygon (((4.92715466713476946 52.36645087505717555, 4.92662921060288816 52.36627187160630115, 4.92477861435968745 52.3652399556947401, 4.92232726724190162 52.36375138072832414, 4.92218452003248874 52.36365739543107622, 4.9217144828244388 52.36351170637015429, 4.92039191638397533 52.36335179045951094, 4.91997316905690862 52.36324386436048428, 4.91973210425872054 52.36313218786856538, 4.91903108892368834 52.36253179398669033, 4.91836165376425072 52.36223107750733163, 4.91752326835844134 52.3621027001767203, 4.91634241906258573 52.36206144175487509, 4.91556560457445091 52.36191451071039182, 4.91504713725936515 52.36177107418976817, 4.91401675071519506 52.36147680563576046, 4.9133808740731908 52.36136551866012212, 4.91169879601420245 52.3612337288045282, 4.91138758355745964 52.36111582232356199, 4.91078527923100072 52.36073574657606855, 4.91032086134387313 52.36059942669309208, 4.90998376396579062 52.3605619864461076, 4.90872509760538733 52.36062859496697541, 4.90830093748776441 52.36057844093323155, 4.90771428723920966 52.36039712882475783, 4.90689094096830658 52.35985400324701544, 4.906324623128822 52.35958576632060613, 4.9056879272165137 52.35940522993556101, 4.90466071322442243 52.35920135290002264, 4.90392704021414616 52.35903029905582429, 4.89874955271106405 52.35797548085153608, 4.89822088171954739 52.35796144009308506, 4.89615605338843363 52.35807006821161735, 4.89087628570357325 52.35832146359862804, 4.88933243653342764 52.35876779381424484, 4.88737108982752311 52.36022421869634513, 4.88618261450879743 52.36086676604963941, 4.88550782265671479 52.36120598458954589, 4.88404628700766619 52.36185674801935619, 4.88243361868214087 52.36194678679427739, 4.88206827406280652 52.36205151109319189, 4.88179603065342871 52.36220556840457618, 4.88127516532707872 52.36327602244095658, 4.8797063541690946 52.36397570705101145, 4.87946376859213782 52.36414718698181048, 4.87937692182699312 52.36432773630227899, 4.87927523705602528 52.36495904123977141, 4.87888638990441414 52.36570429287338868, 4.87754567696091623 52.36678307960784906, 4.87727923014769349 52.36769543676565775, 4.87671621543228184 52.36848293830991707, 4.87571522537192159 52.36943266441045353, 4.87451280927590869 52.37187880323234168, 4.87445757337095653 52.37218652507863936, 4.87463637304290653 52.37250959292587993, 4.8751793324254189 52.3729805500604968, 4.87538600820768764 52.37340853240667826, 4.87556607074475501 52.37404401328556958, 4.87579139488709057 52.37481760352996218, 4.87626822913562474 52.37556409983587002, 4.87988156413069962 52.38132060053756334, 4.8796405268976546 52.3819142337547845, 4.88055824606850663 52.38240555026388989, 4.8817991717280691 52.38424178890364402, 4.88262979607819858 52.38543761351456141, 4.88315695671526839 52.38625448619117719, 4.88452094463995845 52.38837248211085296, 4.8857343902203807 52.38816209147868364, 4.89118620932221226 52.3884514282358964, 4.892561193940411 52.38846013022025971, 4.89567242027535521 52.38883241816870395, 4.89710659079803801 52.38347452416267913, 4.89877206772271734 52.38254317519651693, 4.90102505064964333 52.38121430817854218, 4.90176776957748306 52.380959314185084, 4.90391861931410666 52.38024193838447218, 4.90581528075269002 52.37986753753023805, 4.91100828867067918 52.38002837224968289, 4.91175906218010727 52.37689790910081911, 4.91236866177307707 52.37691863866528763, 4.91299879123764072 52.3769078108399313, 4.9141619095422433 52.37683039465684942, 4.92143723916322173 52.37564512040906806, 4.92359419563742584 52.37529370114250327, 4.9251141615818872 52.37491356616199312, 4.92836267393644256 52.37389106788033644, 4.93047673132163489 52.37322052372514491, 4.9321101858333547 52.37223420937014851, 4.93248736839531965 52.3717581448732119, 4.93302791225295589 52.36999402027709039, 4.93308375464247462 52.36903328170830463, 4.9322063279986903 52.36725779456061503, 4.93182577680907652 52.36656775113619489, 4.92758132207594546 52.36650146537921557, 4.92715466713476946 52.36645087505717555)));Centrum;C;9;823;86851
MultiPolygon (((4.94039154190546093 52.31820932240447775, 4.93978896206797469 52.31909436098466415, 4.94110839294853488 52.31952346001499876, 4.94056273884752262 52.3202015950049244, 4.94024856391468692 52.32072142792463154, 4.94007903325822628 52.32121610051848393, 4.93993560537095178 52.32184236111603326, 4.93993061885511864 52.32193725228852088, 4.93957551414930318 52.32211288026829266, 4.93852143698191881 52.32280391547630671, 4.93837102284421547 52.32283992629371738, 4.93825741259249007 52.32290622991109785, 4.93799684213582868 52.32306589827263821, 4.93789160577374542 52.32318166552033745, 4.93780957511039365 52.32323622458078916, 4.93762417622915439 52.32330126694031946, 4.9378505248738076 52.32373515127515162, 4.93795428235550826 52.32408601901363454, 4.93802244468007867 52.32412681160180057, 4.93855264409771699 52.32419060849856152, 4.93864730947072772 52.32424336470582915, 4.93927558987675308 52.32474253300152611, 4.93950589608519497 52.32494558033684484, 4.94018909432181363 52.32544099633290813, 4.94046351662237537 52.32567040707514394, 4.94471205426909233 52.32712777471191856, 4.94766060956971643 52.32814072717895471, 4.95267700113815668 52.32264554078692953, 4.95674384366296916 52.32404891996532825, 4.96754601897378478 52.32775005619465958, 4.96921470482544603 52.32678411194542889, 4.96957190923830083 52.32654809579643285, 4.97024670758063891 52.326169347781196, 4.97056225661069551 52.32633160526325611, 4.97072688486321024 52.32641325206889604, 4.97109185650225882 52.32663994340071412, 4.97181180630802544 52.32747391497647271, 4.97215727721768985 52.32771684724587402, 4.97341854376843617 52.32847509300437139, 4.97402933210555442 52.3289077754680676, 4.97424783091415357 52.32909835551157585, 4.97451115141855471 52.32932814242321484, 4.97482881779455077 52.32970147069995903, 4.97500699316259887 52.32997792093480172, 4.97531142016207006 52.33056227678729044, 4.97596590775107739 52.33063671816181994, 4.97643861195107551 52.33064972519748181, 4.97713983935000837 52.33064325332140498, 4.97795082223991869 52.33116113581687756, 4.97835018282525166 52.33107798399186095, 4.97980323591395546 52.33100389147838882, 4.9805136850010836 52.33078339051439798, 4.98068735963403775 52.33076174133377378, 4.98113912019531213 52.3307711976140908, 4.98163019121355788 52.33080550259495567, 4.98261301374962429 52.330799466376412, 4.98295289291681431 52.33077887490505731, 4.98335902714343515 52.33074812728685998, 4.98357387617670433 52.33072364811374655, 4.98396974881166965 52.33066765314829638, 4.98417022608525251 52.3306263171500845, 4.98453157728599372 52.33055092452963919, 4.98479282113140698 52.33048161745232818, 4.9850049095504394 52.33040522267545214, 4.98526261290163042 52.33028103298715905, 4.98550186912783655 52.33014442226430418, 4.98619560673234563 52.32971423882194273, 4.98663965272595444 52.32941420343495054, 4.98718637268911191 52.32900081889128785, 4.98749141589603617 52.32881449956833819, 4.98905847414857373 52.3279814013950002, 4.99012168607297202 52.32700571562502745, 4.99101623028021635 52.32584902987642295, 4.99167740463358367 52.32443896121243654, 4.99212037948278287 52.323703898966194, 4.9930903522215786 52.32267053407304047, 4.99419354412380923 52.32134496429502946, 4.9941754714768285 52.32092473122467169, 4.9969179241736823 52.31764407635695591, 4.99732791033161039 52.31678975363426787, 4.99707447518164205 52.31561045681282707, 4.99708405050892157 52.31451704786705648, 4.99728804432315243 52.31415636916529621, 4.99794255699956569 52.3138352323543927, 5.00693769950670031 52.31927278621709121, 5.01612337656512608 52.32447247335615259, 5.01644360988512972 52.32321839487561022, 5.01777712133568787 52.3233174647709518, 5.02154800343485874 52.30245789541961443, 5.01835210418413435 52.30259332897730218, 5.01706345020260436 52.30279890675383569, 5.01624858134938645 52.30304599370875707, 5.01392057029049099 52.30372382038227386, 5.01357618903867319 52.3035383533560676, 5.01154537035392877 52.30339056116589802, 5.01035995521958721 52.30244264270292831, 5.00971420647588062 52.30204513018956902, 5.00904280327391138 52.30182153413062451, 5.00800999553714465 52.30161803504034879, 5.00769334257194121 52.30102185655196223, 5.00526059720787586 52.298393141216728, 5.00385505557896337 52.29850922060369811, 5.00328848756887368 52.29716974671651286, 5.00325744550860829 52.29637427860225074, 5.00325593507640765 52.29608163375807806, 5.00201597281800669 52.29281210455472717, 4.99750031443689924 52.28905827383826477, 4.98350961150081151 52.2903708555725828, 4.98278365754970132 52.28961848963997028, 4.97530653242290466 52.28642510716957048, 4.97197319488176159 52.28437487680557894, 4.96972860946089678 52.28314748964907466, 4.96938291257143128 52.28176265096673347, 4.96761176048641584 52.279493365598114, 4.96674244681013644 52.27988920730797417, 4.96641555197635576 52.28011148322453039, 4.9662426784745568 52.28040993736043163, 4.96619247802633357 52.28094659831825908, 4.96565247013730016 52.28060655941638402, 4.96528220168123013 52.28047127941674432, 4.96491845859986203 52.28041313653717737, 4.96406721702277487 52.28042888541374111, 4.96365266001294092 52.28037500619020506, 4.96240735562179403 52.28030084987111792, 4.96212001577322681 52.28017574365296838, 4.96111335891340932 52.27823782619462634, 4.9607527685462669 52.27818956832058461, 4.95977406718946945 52.27830665910928332, 4.95870685632775032 52.27832455637678777, 4.95824209850655695 52.27846524172366571, 4.95733452335745373 52.27864337205827638, 4.95651263095732286 52.27862753605549528, 4.95527931802700561 52.278320025540161, 4.95192418228441689 52.28237458496437284, 4.95207079123657667 52.28246558511580844, 4.94319897912156669 52.29236124337821678, 4.939269880075698 52.29691403745810163, 4.9370835210642765 52.29944758068091915, 4.93714373197529444 52.29947351417258261, 4.93487229347170064 52.30194391336799242, 4.93493975831235598 52.30197036995446069, 4.93414008850931651 52.30274093641140354, 4.93368804496681257 52.30310500909619975, 4.93348688114465972 52.30330048668691489, 4.93322140486468097 52.30355553108164202, 4.93305803468231829 52.30376103912658436, 4.9328415795077909 52.30411118083023325, 4.93272727283393309 52.30424964816327815, 4.93249110316972761 52.30447662667319975, 4.9316749570334304 52.30503603624990916, 4.9304973233079803 52.30616499393265428, 4.93025991510092076 52.30643200350071709, 4.92947724935954668 52.30741565762971135, 4.92982943490129255 52.30751687013243867, 4.92941244603955475 52.3078360779397471, 4.92983412366472873 52.30808140717636689, 4.9293318837101987 52.30853424785136951, 4.92939265991951103 52.30858440929626596, 4.92961933269217223 52.30881465083366777, 4.93030749874919572 52.3091840931110994, 4.93006877983876546 52.30934135702388232, 4.93181861861375559 52.31038963113641671, 4.93416391861620074 52.31189740506463437, 4.93637133011684259 52.31262060966046334, 4.93527181096363599 52.31391254233938071, 4.93877328024258233 52.31509787500271358, 4.93879906856068374 52.31566100712286982, 4.93810330688892218 52.31650811677705093, 4.93990949024798098 52.31705276617125122, 4.94039154190546093 52.31820932240447775)));Zuidoost;ZO;9;823;87999
MultiPolygon (((4.90176776957748306 52.380959314185084, 4.90102505064964333 52.38121430817854218, 4.89877206772271734 52.38254317519651693, 4.89710659079803801 52.38347452416267913, 4.89567242027535521 52.38883241816870395, 4.89280496423901035 52.39334646536535445, 4.89102939721213126 52.39482694789300865, 4.88867318464802114 52.39676962338000976, 4.88438423181137349 52.39924288694638932, 4.88632206932748936 52.40060747519885354, 4.8657085611669002 52.41446384214818011, 4.86451287628105788 52.41488171882299696, 4.85681640239637424 52.41708733576729173, 4.85994249649255305 52.42030094056163847, 4.85986196094708589 52.42129563448489193, 4.85783803909555889 52.42395690891984117, 4.85762294663838556 52.42436474655389134, 4.85788898042920625 52.42483849467276968, 4.86261321527812385 52.42910904771127178, 4.86216956840008585 52.42990342373486357, 4.8666870556191606 52.43064351240088428, 4.86873514863221857 52.43046314629840765, 4.86924502766523037 52.43008178478504533, 4.86991857642746417 52.43057458148481231, 4.87082540265576025 52.43041095472700164, 4.87233636932719971 52.4301723337888177, 4.87327747385508303 52.42956099109049717, 4.87438059298491222 52.42773285188955867, 4.87507414123009397 52.42698449035366082, 4.87640996490664502 52.42614299143934886, 4.87787258409025171 52.42566286848168033, 4.87989208124304419 52.42555485174834473, 4.88191978180078401 52.42579087625102119, 4.88294767669201057 52.42542055558502057, 4.88872398116850171 52.4255185846837648, 4.89370790765803854 52.42525071409144033, 4.89892340588625164 52.42436026047836606, 4.90217597880805656 52.42335332636957901, 4.90564216887607962 52.42201944125007174, 4.90829522110175365 52.42072073610766125, 4.91110384436355485 52.4195264006183379, 4.91460874407377002 52.41822404507288269, 4.91482850108781211 52.41846564868575342, 4.91654846545663915 52.41820307599616768, 4.91735413731777005 52.41770256222997659, 4.91943701964715352 52.41690554929071766, 4.92262960412391681 52.41535358280498258, 4.93028967384351713 52.41201456203540232, 4.9305954942578154 52.4115169776321892, 4.93545153151006843 52.41195966461212663, 4.94266741181259217 52.41384006079793068, 4.9442117391825624 52.41437523701850409, 4.94525568910656066 52.41539938295622392, 4.94624948528017239 52.41805999491582213, 4.94787544704116655 52.42147675833555098, 4.94886892471441264 52.42149624594629387, 4.94967306570387233 52.4219406287675298, 4.95151482492911743 52.42194739733205466, 4.95181682023058034 52.42248235881670837, 4.95183467434439262 52.42305285743260868, 4.95165388752747138 52.42326672510598939, 4.95282656954491429 52.42365114235749246, 4.95288946934278584 52.42358562916491138, 4.95264933087552794 52.42350269570551546, 4.95269535248308124 52.42334419070728302, 4.95269706471133286 52.42316921143056163, 4.95300503325277219 52.42284755328177681, 4.95362817554685364 52.42221019254951386, 4.95381693314076976 52.42217232512402347, 4.95441705819048384 52.42223531287555005, 4.95521463398630146 52.42236426456032206, 4.95535590536965831 52.42230397809023401, 4.95584459495322349 52.42235271283840348, 4.95584911210847512 52.42205416631251325, 4.95923800764556866 52.42226958350424582, 4.95920663120880878 52.42208558738114732, 4.97340831196607969 52.42270781552765158, 4.98279750645613273 52.42674503272293407, 4.98295399450723675 52.42652065503420289, 4.98717155277730839 52.42285727583439581, 4.98781164327732895 52.42324746146714176, 4.9890721341905504 52.42325169202815971, 4.99038382113671997 52.42440336985252003, 4.99040088251323688 52.42538957167580804, 4.99993695251084258 52.4254378426210792, 5.00042675498948963 52.42536825772717179, 5.01845412437529248 52.419049496296104, 5.02026285303721487 52.4198108935929028, 5.02054016154218807 52.42000700143640302, 5.02120116985696274 52.42102879698148854, 5.02168203565426463 52.42115088846711757, 5.02389383178900761 52.4200988648628794, 5.02418677329816177 52.42016500894528974, 5.02528913940341404 52.42011696402013854, 5.0267599067114741 52.42000230689985329, 5.02764182224757494 52.41982060230948548, 5.02808041624309165 52.41957180902478086, 5.0287399682110383 52.41909185053139453, 5.02965604796731647 52.41777629131282623, 5.02998617917044566 52.417037305003646, 5.03044088333148842 52.41558293326481532, 5.0318936703048589 52.41587645749886093, 5.03286500157466232 52.4162283402068212, 5.0335112268563762 52.41659704257421737, 5.03388231656861684 52.41689918045768337, 5.03515843317445011 52.41847931707629016, 5.03667188522780496 52.41868250376745664, 5.03703554551253241 52.41870137123011375, 5.03721311325773868 52.41863615149889455, 5.0375987323517144 52.41833032164144868, 5.03786811049812311 52.41800141062162766, 5.03826300059918797 52.41764617503777401, 5.04798849582117981 52.41533082702766677, 5.04981721415501461 52.41531626204750438, 5.05214737114486656 52.41548548377001993, 5.05398213907709337 52.41574274104601017, 5.05713627969180823 52.41643270181196357, 5.05813897714177152 52.41650765214612306, 5.06016644081442823 52.4162967435536018, 5.06143691466319545 52.41612574330814311, 5.06270441458501086 52.41624982302387536, 5.06457776928843195 52.41699490326524824, 5.06502969757810906 52.41710438293475249, 5.06766093649426086 52.41634778375125592, 5.06836983397561269 52.41624736657824002, 5.07428304491457638 52.41377573220308506, 5.07915874986540672 52.38865136552802682, 5.03766159015211734 52.37530669063603028, 5.01449017699925914 52.36971718945826382, 5.01236029391218718 52.36946629178839885, 5.00592734251819138 52.36897719416362662, 5.00133555240020833 52.3685110475044624, 4.99787467212963143 52.3682006864930969, 4.99372298043303164 52.36811927621073437, 4.98824118371995961 52.36867833955086837, 4.985099904537309 52.36929057812016453, 4.98402927170423649 52.36962456423074741, 4.98180827614205324 52.37035155310881862, 4.97433801324192082 52.37401340033652986, 4.97023323575975251 52.37619628498622859, 4.96662871084653013 52.37813759766407173, 4.96162207412827883 52.38120971822011995, 4.9606144420307503 52.38166433175912573, 4.95950715726308289 52.3821472480523056, 4.95898295570385983 52.38230848239130921, 4.95831791324332016 52.38241483113797869, 4.95689370122031914 52.38250310339164884, 4.95242884468432187 52.38251254185851735, 4.94318992033349591 52.38251245791035871, 4.93710800639466285 52.38250339804476852, 4.93067838346551479 52.38229249227631357, 4.92471577649580539 52.38130055645591909, 4.92008584704537277 52.38080887566966481, 4.91673223825867467 52.38039919192288352, 4.91100828867067918 52.38002837224968289, 4.90581528075269002 52.37986753753023805, 4.90391861931410666 52.38024193838447218, 4.90176776957748306 52.380959314185084)));Noord;N;9;823;96275
